 SECTION	3
   STUDENT      187-66-3001 Folmar, Magaly
    SCORE		HW1+Essay	38
    SCORE		HW2		27
    SCORE		HW3+Essay	35
    SCORE		HW4+Essay	45
    SCORE		HW5		26
    SCORE		Exam1		40
    SCORE		Exam2		28
    SCORE		Final		64
   STUDENT      117-62-3002 Behne, Constance
    SCORE		HW1+Essay	USERAW 8.0 (more was submitted late)
    SCORE		HW2		USERAW 0.0 (not submitted)
    SCORE		HW3+Essay	USERAW 0.0 (not submitted)
    SCORE		HW4+Essay	USERAW 0.0 (not submitted)
    SCORE		HW5		USERAW 0.0 (not submitted)
    SCORE		Exam1		46
    SCORE		Exam2		19
    SCORE		Final		78
   STUDENT      139-76-3003 Wingate, Shemika
    SCORE		HW1+Essay	25
    SCORE		HW2		USERAW 0.0 (not submitted)
    SCORE		HW3+Essay	USERAW 0.0 (not submitted)
    SCORE		HW4+Essay	USERAW 0.0 (not submitted)
    SCORE		HW5		USERAW 0.0 (not submitted)
    SCORE		Exam1		24
    SCORE		Exam2		18
    SCORE		Final		USERAW 0.0 (not submitted)
   STUDENT      103-62-3004 Prange, Blondell
    SCORE		HW1+Essay	31
    SCORE		HW2		22
    SCORE		HW3+Essay	19
    SCORE		HW4+Essay	25
    SCORE		HW5		20
    SCORE		Exam1		36
    SCORE		Exam2		30
    SCORE		Final		71
   STUDENT      092-70-3005 Haglund, Eulah
    SCORE		HW1+Essay	20
    SCORE		HW2		8
    SCORE		HW3+Essay	16
    SCORE		HW4+Essay	21
    SCORE		HW5		16
    SCORE		Exam1		19
    SCORE		Exam2		12
    SCORE		Final		31
